threshold,precision,recall,f1_score,true_positives,true_negatives,false_positives,false_negatives,cost_fp,cost_fn,total_cost
0.1,0.2531017369727047,0.9532710280373832,0.4,102,199592,301,5,15050,25000,40050
0.15000000000000002,0.5795454545454546,0.9532710280373832,0.7208480565371025,102,199819,74,5,3700,25000,28700
0.20000000000000004,0.6891891891891891,0.9532710280373832,0.8,102,199847,46,5,2300,25000,27300
0.25000000000000006,0.78125,0.9345794392523364,0.851063829787234,100,199865,28,7,1400,35000,36400
0.30000000000000004,0.8264462809917356,0.9345794392523364,0.8771929824561403,100,199872,21,7,1050,35000,36050
0.3500000000000001,0.9615384615384616,0.9345794392523364,0.9478672985781991,100,199889,4,7,200,35000,35200
0.40000000000000013,0.9803921568627451,0.9345794392523364,0.9569377990430622,100,199891,2,7,100,35000,35100
0.45000000000000007,0.9900990099009901,0.9345794392523364,0.9615384615384616,100,199892,1,7,50,35000,35050
0.5000000000000001,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
0.5500000000000002,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
0.6000000000000002,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
0.6500000000000001,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
0.7000000000000002,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
0.7500000000000002,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
0.8000000000000002,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
0.8500000000000002,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
0.9000000000000002,1.0,0.9345794392523364,0.966183574879227,100,199893,0,7,0,35000,35000
